Date,DJI_Closing_value
Dec2009,10428.04659
Jan2010,10067.32776
Feb2010,10325.26477
Mar2010,10856.63165
Apr2010,11008.6127
May2010,10136.62991
Jun2010,9774.021707
Jul2010,10465.94495
Aug2010,10014.72094
Sep2010,10788.0532
Oct2010,11118.48662
Nov2010,11006.02119
Dec2010,11577.50602
Jan2011,11891.93241
Feb2011,12226.3392
Mar2011,12319.73243
Apr2011,12810.53883
May2011,12569.79015
Jun2011,12414.33659
Jul2011,12143.23891
Aug2011,11613.53128
Sep2011,10913.3848
Oct2011,11955.01446
Nov2011,12045.68309
Dec2011,12217.55994
Jan2012,12632.91005
Feb2012,12952.06665
Mar2012,13212.03889
Apr2012,13213.62824
May2012,12393.44799
Jun2012,12880.09181
Jul2012,13008.67778
Aug2012,13090.83723
Sep2012,13437.12686
Oct2012,13096.46233
Nov2012,13025.58015
Dec2012,13104.14188
Jan2013,13860.57687
Feb2013,14054.48533
Mar2013,14578.53735
Apr2013,14839.7954
May2013,15115.56779
Jun2013,14909.60245
Jul2013,15499.54494
Aug2013,14810.30596
Sep2013,15129.66835
Oct2013,15545.74659
Nov2013,16086.4107
Dec2013,16576.66248
Jan2014,15698.84592
Feb2014,16321.711
Mar2014,16457.66372
Apr2014,16580.83675
May2014,16717.17478
Jun2014,16826.60483
Jul2014,16563.30482
Aug2014,17098.44604
Sep2014,17042.89616
Oct2014,17390.5164
Nov2014,17828.23662
Dec2014,17823.06695
Jan2015,17164.94535
Feb2015,18132.70134
Mar2015,17776.12256
Apr2015,17840.51647
May2015,18010.67654
Jun2015,17619.50856
Jul2015,17689.85992
Aug2015,16528.02689
Sep2015,16284.70338
Oct2015,17663.53662
Nov2015,17719.9246
Dec2015,17425.02867
Jan2016,16466.29855
Feb2016,16516.49671
Mar2016,17685.0935
Apr2016,17773.64224
May2016,17787.2019
